Комментарий,Время,Лайки
Сделай выпуск про «сосновского маньяка» из СПБ. !),2023-12-16T21:21:32Z,0
"Снимите лучше фильм про питерского гопника, который смог организовать ОПГ и назваться прещидентом Рф😅",2023-12-16T20:16:07Z,3
"Вспомнила, про Бычкова хотелось бы больше узнать",2023-12-16T20:14:35Z,0
"Саш, давай про Ларри Холла",2023-12-16T17:39:14Z,0
Спасибо большое за вашу работу!!!! Жду каждого выпуска!!!! Формат супер,2023-12-16T17:17:10Z,2
"блин, это неинтересно. лучше про маньяков",2023-12-16T17:05:36Z,1
"Удивительно не интересная история, зря потерянное время",2023-12-16T16:28:01Z,1
"Спасибо, ваша речь прекрасна 🛐🛐",2023-12-16T15:58:50Z,0
Здравствуйте Саша. Уже писала Вам. Напишите о банде насильников в Азове. Главарем которой был сын прокурора.,2023-12-16T15:50:46Z,1
"Спасибо огромное за выпуск... Я занимаюсь темой итальянской мафии, в том числе  её историей и психологией, и этот ролик очень мне помог.  В самой Италии происходило и происходит примерно то же - север и юг как будто две разные страны,  причем северяне  - хозяева, южане -  в роли эмигрантов,  которые приспосабливались сначала через открытое насилие, а теперь поняли что деньги и власть любят тишину и мимикрировали...  Алексей  большой специалист и прекрасный рассказчик,  благодаря этому интервью у меня сложились многие кусочки пазла...",2023-12-16T15:13:59Z,3
Кузнецов ван лав. Еще и у Саши ❤❤❤❤,2023-12-16T15:10:59Z,0
"Деннис Нильсен. Интересно узнать про него больше, чем есть в открытых источниках.",2023-12-16T14:51:37Z,0
"А что за история с афроамериканцем, которого спас Петрозино? Участие в его похоронах?",2023-12-16T14:32:51Z,0
Лайк в том числе за Алексея Кузнецова ❤,2023-12-16T14:04:42Z,0
Спасибо за выпуск) очень интересно услышать про Витебского душителя,2023-12-16T13:04:46Z,0
"Имя Иосиф Петрозино , звучит гордо .",2023-12-16T13:00:04Z,0
Вам прям Америка жить спокойно не дает,2023-12-16T11:58:24Z,0
😊,2023-12-16T11:29:16Z,0
"можете пожалуйста, рассказать о кровавой герцогине?",2023-12-16T11:27:40Z,0
Сделайте выпуск или подкаст с Дневниками Лоры Палны,2023-12-16T11:19:50Z,0
"Как книгу послушал, крутой выпуск",2023-12-16T11:16:30Z,2
Почему Сашу все так любят(Включая меня)?😂,2023-12-16T10:57:27Z,2
Спасибо,2023-12-16T10:51:00Z,0
"Саша, хотелось бы услышать от вас историю маньяка Сергея  Федоровича Ткач. Спасибо за ваш труд!",2023-12-16T09:44:01Z,0
Гость очень интересный ❤,2023-12-16T08:51:37Z,1
"Не буду слушать, музыка мешает.",2023-12-16T07:41:23Z,0
"Какая история, трогательно до слез❤",2023-12-16T07:03:42Z,0
Джек Потрошитель 🥺 пожалуйста,2023-12-16T05:39:42Z,0
С нетерпением жду от Вас видео про Ангарского маньяка.,2023-12-16T04:46:55Z,0
"Меня прям раздражает очень много рекламы,теряется нить аж бесит  😤",2023-12-16T02:57:21Z,0
